vedpos;name;place;kolvo;placepriority;
175;Сетевое оборудование, коммутатор, HP, 1920-48G,;Управление Офис 1 (Земляной вал, 61 стр. 2);2;1;
176;Сетевое оборудование, коммутатор, HP, PS1810-8G,;Управление Офис 1 (Земляной вал, 61 стр. 2);2;1;
177;Сетевое оборудование, коммутатор, ZyXEL, GS-105B,;Управление Офис 1 (Земляной вал, 61 стр. 2);2;1;
178;Сетевое оборудование, коммутатор, ZyXEL, GS-108B,;Управление Офис 1 (Земляной вал, 61 стр. 2);7;1;
179;Сетевое оборудование, маршрутизатор (роутер), ZTE, MF283V,;Управление Офис 1 (Земляной вал, 61 стр. 2);3;1;
180;Сетевое оборудование, маршрутизатор (роутер), ZTE, MF838FT,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
181;Сетевое оборудование, маршрутизатор (роутер), ZyXEL, Keenetic,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
182;Сетевое оборудование, точка доступа, Ubiquiti, Bullet,;Управление Офис 1 (Земляной вал, 61 стр. 2);7;1;
183;"Сетевое оборудование, шкаф телекоммуникационный, CABEUS, 19"" 9U,";Управление Офис 1 (Земляной вал, 61 стр. 2);4;1;
184;Система контроля, видеонаблюдение, IP камера Dahua DH-IPC-HFW2231TP-ZS,;Управление Офис 1 (Земляной вал, 61 стр. 2);10;1;
185;Система контроля, видеонаблюдение, видеокамера,;Управление Офис 1 (Земляной вал, 61 стр. 2);35;1;
186;Система контроля, видеонаблюдение, видеокамера,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
187;Система контроля, видеонаблюдение, видеорегистратор Dahua DHI-XVR4116HS-1,;Управление Офис 1 (Земляной вал, 61 стр. 2);3;1;
188;Система контроля, видеонаблюдение, видеорегистратор DHI-NVR-5216-4KS2,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
189;Система контроля, видеонаблюдение, видеорегистратор DS-7316HI-ST,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
190;Система контроля, видеонаблюдение, видеорегистратор,;Управление Офис 1 (Земляной вал, 61 стр. 2);4;1;
191;Система контроля, доступ, контроллер Sphinx E500,;Управление Офис 1 (Земляной вал, 61 стр. 2);2;1;
192;Система контроля, доступ, турникет,;Управление Офис 1 (Земляной вал, 61 стр. 2);6;1;
193;Сканер, Canon, CanoScan LiDE 400;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
194;Сканер, Canon, DR-C125;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
195;Сканер, Canon, P 215 DMS;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
196;Сканер, Canon, P-215 II;Управление Офис 1 (Земляной вал, 61 стр. 2);2;1;
197;"Сумка, 15,6"", для ноутбука, нейлон,";Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
198;Телефон мобильный, Samsung,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
199;Телефон мобильный, Samsung, Galaxy A01 SM-A015F;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
200;Телефон стационарный, IP-телефон Panasonic KX-NT511ARUW;Управление Офис 1 (Земляной вал, 61 стр. 2);2;1;
201;Телефон стационарный, аппарат телефонный Panasonic KX-DT521RU;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
202;Телефон стационарный, проводной цифровой Panasonic KX-DT321RU;Управление Офис 1 (Земляной вал, 61 стр. 2);12;1;
203;Телефон стационарный, проводной цифровой Panasonic KX-DT546RU;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
204;Телефон стационарный, системный Panasonic KX-DT521RU;Управление Офис 1 (Земляной вал, 61 стр. 2);4;1;
205;Телефон стационарный, системный Panasonic KX-DT543RUB;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
